origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
DTLA,LAX,11700,60.0,,03:15:00
DTLA,LAX,12300,45.0,,03:25:00
LAX,DTLA,12600,55.0,,03:30:00
DTLA,LAX,12600,60.0,,03:30:00
DTLA,LAX,12900,52.5,,03:35:00
DTLA,LAX,13200,52.5,,03:40:00
LAX,DTLA,13200,42.5,,03:40:00
LAX,DTLA,13500,47.5,,03:45:00
DTLA,LAX,13500,47.5,,03:45:00
LAX,DTLA,13800,47.5,,03:50:00
DTLA,LAX,14100,50.0,,03:55:00
DTLA,LAX,14100,50.0,,03:55:00
LAX,DTLA,14400,57.5,,04:00:00
DTLA,LAX,14400,57.5,,04:00:00
LAX,DTLA,14700,45.0,,04:05:00
DTLA,LAX,14700,40.0,,04:05:00
LAX,DTLA,14700,45.0,,04:05:00
DTLA,LAX,15000,45.0,,04:10:00
LAX,DTLA,15300,35.0,,04:15:00
DTLA,LAX,15300,40.0,,04:15:00
DTLA,LAX,15300,40.0,,04:15:00
DTLA,LAX,15600,42.5,,04:20:00
LAX,DTLA,15900,42.5,,04:25:00
DTLA,LAX,15900,30.0,,04:25:00
DTLA,LAX,15900,50.0,,04:25:00
LAX,DTLA,16200,37.5,,04:30:00
LAX,DTLA,16500,40.0,,04:35:00
DTLA,LAX,16500,57.5,,04:35:00
LAX,DTLA,16500,37.5,,04:35:00
LAX,DTLA,16500,37.5,,04:35:00
LAX,DTLA,16500,40.0,,04:35:00
DTLA,LAX,16800,37.5,,04:40:00
DTLA,LAX,16800,32.5,,04:40:00
LAX,DTLA,16800,25.0,,04:40:00
DTLA,LAX,17100,55.0,,04:45:00
LAX,DTLA,17100,57.5,,04:45:00
DTLA,LAX,17100,32.5,,04:45:00
DTLA,LAX,17100,55.0,,04:45:00
LAX,DTLA,17100,52.5,,04:45:00
DTLA,LAX,17400,52.5,,04:50:00
LAX,DTLA,17400,45.0,,04:50:00
LAX,DTLA,17400,27.5,,04:50:00
DTLA,LAX,17700,47.5,,04:55:00
LAX,DTLA,17700,32.5,,04:55:00
LAX,DTLA,17700,27.5,,04:55:00
LAX,DTLA,18000,47.5,,05:00:00
DTLA,LAX,18000,35.0,,05:00:00
DTLA,LAX,18000,35.0,,05:00:00
DTLA,LAX,18000,52.5,,05:00:00
DTLA,LAX,18300,27.5,,05:05:00
LAX,DTLA,18600,30.0,,05:10:00
LAX,DTLA,18600,30.0,,05:10:00
DTLA,LAX,18600,40.0,,05:10:00
DTLA,LAX,18600,37.5,,05:10:00
DTLA,LAX,18900,42.5,,05:15:00
DTLA,LAX,18900,37.5,,05:15:00
LAX,DTLA,19200,32.5,,05:20:00
DTLA,LAX,19200,30.0,,05:20:00
DTLA,LAX,19500,27.5,,05:25:00
LAX,DTLA,19500,42.5,,05:25:00
DTLA,LAX,19500,27.5,,05:25:00
LAX,DTLA,19500,37.5,,05:25:00
DTLA,LAX,19800,27.5,,05:30:00
LAX,DTLA,19800,57.5,,05:30:00
LAX,DTLA,19800,32.5,,05:30:00
LAX,DTLA,19800,50.0,,05:30:00
LAX,DTLA,19800,57.5,,05:30:00
LAX,DTLA,20100,42.5,,05:35:00
DTLA,LAX,20100,37.5,,05:35:00
DTLA,LAX,20400,52.5,,05:40:00
DTLA,LAX,20400,52.5,,05:40:00
DTLA,LAX,20700,37.5,,05:45:00
DTLA,LAX,20700,30.0,,05:45:00
LAX,DTLA,20700,32.5,,05:45:00
DTLA,LAX,21000,57.5,,05:50:00
LAX,DTLA,21000,30.0,,05:50:00
LAX,DTLA,21300,30.0,,05:55:00
LAX,DTLA,21300,45.0,,05:55:00
LAX,DTLA,21300,37.5,,05:55:00
LAX,DTLA,21300,32.5,,05:55:00
DTLA,LAX,21300,50.0,,05:55:00
DTLA,LAX,21600,37.5,,06:00:00
LAX,DTLA,21600,52.5,,06:00:00
DTLA,LAX,21600,25.0,,06:00:00
LAX,DTLA,21900,32.5,,06:05:00
DTLA,LAX,21900,32.5,,06:05:00
LAX,DTLA,21900,50.0,,06:05:00
LAX,DTLA,21900,50.0,,06:05:00
DTLA,LAX,21900,27.5,,06:05:00
DTLA,LAX,22200,47.5,,06:10:00
LAX,DTLA,22200,45.0,,06:10:00
LAX,DTLA,22200,32.5,,06:10:00
DTLA,LAX,22200,25.0,,06:10:00
DTLA,LAX,22500,27.5,,06:15:00
LAX,DTLA,22500,27.5,,06:15:00
DTLA,LAX,22500,45.0,,06:15:00
LAX,DTLA,22800,42.5,,06:20:00
DTLA,LAX,22800,45.0,,06:20:00
DTLA,LAX,22800,40.0,,06:20:00
LAX,DTLA,23100,40.0,,06:25:00
DTLA,LAX,23100,30.0,,06:25:00
LAX,DTLA,23100,57.5,,06:25:00
DTLA,LAX,23100,50.0,,06:25:00
LAX,DTLA,23400,40.0,,06:30:00
LAX,DTLA,23400,30.0,,06:30:00
LAX,DTLA,23400,40.0,,06:30:00
DTLA,LAX,23400,37.5,,06:30:00
LAX,DTLA,23700,37.5,,06:35:00
LAX,DTLA,23700,45.0,,06:35:00
LAX,DTLA,23700,37.5,,06:35:00
DTLA,LAX,23700,52.5,,06:35:00
DTLA,LAX,23700,52.5,,06:35:00
LAX,DTLA,24000,32.5,,06:40:00
DTLA,LAX,24000,35.0,,06:40:00
DTLA,LAX,24000,35.0,,06:40:00
LAX,DTLA,24300,47.5,,06:45:00
DTLA,LAX,24300,40.0,,06:45:00
DTLA,LAX,24300,42.5,,06:45:00
LAX,DTLA,24300,47.5,,06:45:00
LAX,DTLA,24600,30.0,,06:50:00
DTLA,LAX,24600,32.5,,06:50:00
DTLA,LAX,24600,32.5,,06:50:00
DTLA,LAX,24600,32.5,,06:50:00
LAX,DTLA,24900,35.0,,06:55:00
LAX,DTLA,24900,30.0,,06:55:00
LAX,DTLA,25200,27.5,,07:00:00
LAX,DTLA,25200,27.5,,07:00:00
DTLA,LAX,25200,42.5,,07:00:00
DTLA,LAX,25200,27.5,,07:00:00
LAX,DTLA,25200,27.5,,07:00:00
LAX,DTLA,25500,42.5,,07:05:00
DTLA,LAX,25500,25.0,,07:05:00
DTLA,LAX,25500,25.0,,07:05:00
LAX,DTLA,25800,45.0,,07:10:00
DTLA,LAX,25800,30.0,,07:10:00
LAX,DTLA,26100,27.5,,07:15:00
DTLA,LAX,26100,37.5,,07:15:00
LAX,DTLA,26400,37.5,,07:20:00
LAX,DTLA,26400,37.5,,07:20:00
DTLA,LAX,26400,27.5,,07:20:00
DTLA,LAX,26400,27.5,,07:20:00
DTLA,LAX,26700,42.5,,07:25:00
LAX,DTLA,26700,32.5,,07:25:00
DTLA,LAX,26700,37.5,,07:25:00
DTLA,LAX,27000,25.0,,07:30:00
DTLA,LAX,27000,57.5,,07:30:00
LAX,DTLA,27000,25.0,,07:30:00
LAX,DTLA,27000,25.0,,07:30:00
DTLA,LAX,27300,55.0,,07:35:00
LAX,DTLA,27300,37.5,,07:35:00
LAX,DTLA,27300,37.5,,07:35:00
DTLA,LAX,27600,27.5,,07:40:00
DTLA,LAX,27600,32.5,,07:40:00
LAX,DTLA,27900,32.5,,07:45:00
DTLA,LAX,27900,42.5,,07:45:00
LAX,DTLA,28200,27.5,,07:50:00
LAX,DTLA,28200,45.0,,07:50:00
LAX,DTLA,28200,32.5,,07:50:00
DTLA,LAX,28200,32.5,,07:50:00
DTLA,LAX,28200,32.5,,07:50:00
LAX,DTLA,28500,37.5,,07:55:00
DTLA,LAX,28500,27.5,,07:55:00
DTLA,LAX,28500,27.5,,07:55:00
LAX,DTLA,28500,37.5,,07:55:00
LAX,DTLA,28800,27.5,,08:00:00
DTLA,LAX,28800,30.0,,08:00:00
LAX,DTLA,28800,27.5,,08:00:00
DTLA,LAX,29100,40.0,,08:05:00
LAX,DTLA,29100,25.0,,08:05:00
DTLA,LAX,29400,37.5,,08:10:00
DTLA,LAX,29400,37.5,,08:10:00
DTLA,LAX,29700,40.0,,08:15:00
LAX,DTLA,29700,35.0,,08:15:00
DTLA,LAX,30000,40.0,,08:20:00
DTLA,LAX,30000,30.0,,08:20:00
LAX,DTLA,30000,57.5,,08:20:00
DTLA,LAX,30300,37.5,,08:25:00
LAX,DTLA,30300,35.0,,08:25:00
LAX,DTLA,30300,35.0,,08:25:00
LAX,DTLA,30300,35.0,,08:25:00
LAX,DTLA,30300,30.0,,08:25:00
LAX,DTLA,30600,40.0,,08:30:00
LAX,DTLA,30600,40.0,,08:30:00
LAX,DTLA,30600,25.0,,08:30:00
DTLA,LAX,30600,52.5,,08:30:00
DTLA,LAX,30600,35.0,,08:30:00
DTLA,LAX,30600,35.0,,08:30:00
LAX,DTLA,30900,37.5,,08:35:00
DTLA,LAX,30900,30.0,,08:35:00
LAX,DTLA,31200,47.5,,08:40:00
LAX,DTLA,31200,35.0,,08:40:00
DTLA,LAX,31200,35.0,,08:40:00
DTLA,LAX,31200,35.0,,08:40:00
DTLA,LAX,31500,40.0,,08:45:00
DTLA,LAX,31500,32.5,,08:45:00
LAX,DTLA,31500,25.0,,08:45:00
LAX,DTLA,31800,35.0,,08:50:00
LAX,DTLA,31800,35.0,,08:50:00
DTLA,LAX,31800,27.5,,08:50:00
DTLA,LAX,31800,30.0,,08:50:00
DTLA,LAX,32100,35.0,,08:55:00
LAX,DTLA,32100,27.5,,08:55:00
DTLA,LAX,32400,42.5,,09:00:00
LAX,DTLA,32400,32.5,,09:00:00
LAX,DTLA,32700,30.0,,09:05:00
DTLA,LAX,32700,45.0,,09:05:00
LAX,DTLA,32700,27.5,,09:05:00
LAX,DTLA,32700,60.0,,09:05:00
DTLA,LAX,33000,37.5,,09:10:00
DTLA,LAX,33000,40.0,,09:10:00
DTLA,LAX,33000,40.0,,09:10:00
LAX,DTLA,33000,40.0,,09:10:00
LAX,DTLA,33000,37.5,,09:10:00
LAX,DTLA,33300,40.0,,09:15:00
DTLA,LAX,33300,55.0,,09:15:00
LAX,DTLA,33600,35.0,,09:20:00
LAX,DTLA,33600,35.0,,09:20:00
DTLA,LAX,33600,25.0,,09:20:00
LAX,DTLA,33900,50.0,,09:25:00
LAX,DTLA,33900,50.0,,09:25:00
DTLA,LAX,33900,35.0,,09:25:00
DTLA,LAX,33900,35.0,,09:25:00
LAX,DTLA,33900,35.0,,09:25:00
DTLA,LAX,33900,40.0,,09:25:00
DTLA,LAX,34200,45.0,,09:30:00
LAX,DTLA,34200,47.5,,09:30:00
DTLA,LAX,34200,30.0,,09:30:00
LAX,DTLA,34500,30.0,,09:35:00
DTLA,LAX,34500,45.0,,09:35:00
DTLA,LAX,34500,45.0,,09:35:00
DTLA,LAX,34500,45.0,,09:35:00
LAX,DTLA,34500,35.0,,09:35:00
DTLA,LAX,34800,42.5,,09:40:00
DTLA,LAX,34800,40.0,,09:40:00
LAX,DTLA,34800,40.0,,09:40:00
DTLA,LAX,34800,47.5,,09:40:00
LAX,DTLA,35100,40.0,,09:45:00
LAX,DTLA,35100,40.0,,09:45:00
LAX,DTLA,35100,40.0,,09:45:00
DTLA,LAX,35100,25.0,,09:45:00
DTLA,LAX,35100,30.0,,09:45:00
LAX,DTLA,35400,37.5,,09:50:00
LAX,DTLA,35400,37.5,,09:50:00
DTLA,LAX,35400,42.5,,09:50:00
DTLA,LAX,35400,35.0,,09:50:00
LAX,DTLA,35700,42.5,,09:55:00
LAX,DTLA,35700,35.0,,09:55:00
DTLA,LAX,35700,35.0,,09:55:00
LAX,DTLA,36000,30.0,,10:00:00
LAX,DTLA,36300,45.0,,10:05:00
DTLA,LAX,36300,37.5,,10:05:00
DTLA,LAX,36300,37.5,,10:05:00
LAX,DTLA,36300,30.0,,10:05:00
LAX,DTLA,36600,37.5,,10:10:00
DTLA,LAX,36600,40.0,,10:10:00
LAX,DTLA,36600,37.5,,10:10:00
DTLA,LAX,36600,40.0,,10:10:00
DTLA,LAX,36900,25.0,,10:15:00
LAX,DTLA,36900,40.0,,10:15:00
LAX,DTLA,37200,37.5,,10:20:00
LAX,DTLA,37200,37.5,,10:20:00
DTLA,LAX,37200,40.0,,10:20:00
DTLA,LAX,37500,37.5,,10:25:00
DTLA,LAX,37500,40.0,,10:25:00
LAX,DTLA,37500,52.5,,10:25:00
DTLA,LAX,37800,32.5,,10:30:00
LAX,DTLA,37800,35.0,,10:30:00
DTLA,LAX,38100,35.0,,10:35:00
DTLA,LAX,38100,47.5,,10:35:00
LAX,DTLA,38100,35.0,,10:35:00
DTLA,LAX,38400,30.0,,10:40:00
DTLA,LAX,38700,47.5,,10:45:00
DTLA,LAX,38700,47.5,,10:45:00
LAX,DTLA,38700,42.5,,10:45:00
LAX,DTLA,38700,42.5,,10:45:00
LAX,DTLA,39000,52.5,,10:50:00
LAX,DTLA,39000,52.5,,10:50:00
LAX,DTLA,39000,35.0,,10:50:00
LAX,DTLA,39000,25.0,,10:50:00
DTLA,LAX,39000,52.5,,10:50:00
DTLA,LAX,39000,50.0,,10:50:00
DTLA,LAX,39300,37.5,,10:55:00
DTLA,LAX,39300,37.5,,10:55:00
LAX,DTLA,39300,42.5,,10:55:00
LAX,DTLA,39300,42.5,,10:55:00
LAX,DTLA,39300,32.5,,10:55:00
DTLA,LAX,39600,47.5,,11:00:00
DTLA,LAX,39600,47.5,,11:00:00
DTLA,LAX,39600,40.0,,11:00:00
DTLA,LAX,39600,30.0,,11:00:00
LAX,DTLA,39600,45.0,,11:00:00
LAX,DTLA,39600,47.5,,11:00:00
LAX,DTLA,39600,47.5,,11:00:00
DTLA,LAX,39900,37.5,,11:05:00
LAX,DTLA,40200,35.0,,11:10:00
DTLA,LAX,40200,42.5,,11:10:00
LAX,DTLA,40200,37.5,,11:10:00
DTLA,LAX,40200,42.5,,11:10:00
LAX,DTLA,40200,37.5,,11:10:00
LAX,DTLA,40500,45.0,,11:15:00
LAX,DTLA,40500,32.5,,11:15:00
LAX,DTLA,40500,25.0,,11:15:00
DTLA,LAX,40500,40.0,,11:15:00
DTLA,LAX,40500,35.0,,11:15:00
LAX,DTLA,40500,45.0,,11:15:00
LAX,DTLA,40800,37.5,,11:20:00
LAX,DTLA,40800,37.5,,11:20:00
DTLA,LAX,40800,40.0,,11:20:00
DTLA,LAX,40800,32.5,,11:20:00
DTLA,LAX,40800,32.5,,11:20:00
DTLA,LAX,41100,40.0,,11:25:00
DTLA,LAX,41100,40.0,,11:25:00
LAX,DTLA,41100,35.0,,11:25:00
DTLA,LAX,41400,32.5,,11:30:00
DTLA,LAX,41400,47.5,,11:30:00
DTLA,LAX,41400,35.0,,11:30:00
LAX,DTLA,41400,27.5,,11:30:00
LAX,DTLA,41400,35.0,,11:30:00
LAX,DTLA,41400,35.0,,11:30:00
DTLA,LAX,41400,32.5,,11:30:00
LAX,DTLA,41400,27.5,,11:30:00
LAX,DTLA,41700,35.0,,11:35:00
DTLA,LAX,41700,27.5,,11:35:00
DTLA,LAX,41700,37.5,,11:35:00
LAX,DTLA,41700,35.0,,11:35:00
LAX,DTLA,42000,30.0,,11:40:00
LAX,DTLA,42000,42.5,,11:40:00
DTLA,LAX,42000,30.0,,11:40:00
DTLA,LAX,42000,30.0,,11:40:00
DTLA,LAX,42000,32.5,,11:40:00
DTLA,LAX,42300,30.0,,11:45:00
DTLA,LAX,42300,25.0,,11:45:00
LAX,DTLA,42300,30.0,,11:45:00
LAX,DTLA,42300,30.0,,11:45:00
DTLA,LAX,42300,25.0,,11:45:00
DTLA,LAX,42300,30.0,,11:45:00
LAX,DTLA,42600,25.0,,11:50:00
DTLA,LAX,42600,37.5,,11:50:00
LAX,DTLA,42600,25.0,,11:50:00
DTLA,LAX,42900,30.0,,11:55:00
LAX,DTLA,42900,25.0,,11:55:00
DTLA,LAX,42900,25.0,,11:55:00
LAX,DTLA,42900,25.0,,11:55:00
LAX,DTLA,42900,32.5,,11:55:00
LAX,DTLA,43200,32.5,,12:00:00
LAX,DTLA,43200,40.0,,12:00:00
LAX,DTLA,43200,32.5,,12:00:00
DTLA,LAX,43200,30.0,,12:00:00
DTLA,LAX,43500,27.5,,12:05:00
LAX,DTLA,43500,25.0,,12:05:00
LAX,DTLA,43800,25.0,,12:10:00
DTLA,LAX,43800,27.5,,12:10:00
DTLA,LAX,43800,27.5,,12:10:00
LAX,DTLA,44100,42.5,,12:15:00
LAX,DTLA,44100,42.5,,12:15:00
DTLA,LAX,44100,27.5,,12:15:00
DTLA,LAX,44100,27.5,,12:15:00
LAX,DTLA,44400,32.5,,12:20:00
DTLA,LAX,44400,40.0,,12:20:00
DTLA,LAX,44400,40.0,,12:20:00
DTLA,LAX,44700,37.5,,12:25:00
LAX,DTLA,44700,35.0,,12:25:00
DTLA,LAX,45000,45.0,,12:30:00
LAX,DTLA,45000,35.0,,12:30:00
LAX,DTLA,45000,35.0,,12:30:00
DTLA,LAX,45300,45.0,,12:35:00
LAX,DTLA,45300,30.0,,12:35:00
LAX,DTLA,45300,30.0,,12:35:00
LAX,DTLA,45600,37.5,,12:40:00
LAX,DTLA,45600,37.5,,12:40:00
LAX,DTLA,45600,37.5,,12:40:00
DTLA,LAX,45600,37.5,,12:40:00
DTLA,LAX,45900,42.5,,12:45:00
DTLA,LAX,45900,30.0,,12:45:00
LAX,DTLA,45900,40.0,,12:45:00
DTLA,LAX,46200,45.0,,12:50:00
DTLA,LAX,46200,42.5,,12:50:00
LAX,DTLA,46200,32.5,,12:50:00
DTLA,LAX,46500,35.0,,12:55:00
LAX,DTLA,46500,25.0,,12:55:00
DTLA,LAX,46500,35.0,,12:55:00
DTLA,LAX,46800,37.5,,13:00:00
LAX,DTLA,46800,40.0,,13:00:00
DTLA,LAX,46800,27.5,,13:00:00
LAX,DTLA,47100,37.5,,13:05:00
LAX,DTLA,47100,37.5,,13:05:00
LAX,DTLA,47100,30.0,,13:05:00
DTLA,LAX,47100,45.0,,13:05:00
DTLA,LAX,47100,45.0,,13:05:00
LAX,DTLA,47100,30.0,,13:05:00
LAX,DTLA,47400,52.5,,13:10:00
DTLA,LAX,47400,50.0,,13:10:00
DTLA,LAX,47400,40.0,,13:10:00
DTLA,LAX,47400,35.0,,13:10:00
LAX,DTLA,47700,35.0,,13:15:00
LAX,DTLA,47700,27.5,,13:15:00
DTLA,LAX,47700,32.5,,13:15:00
DTLA,LAX,48000,35.0,,13:20:00
DTLA,LAX,48000,35.0,,13:20:00
LAX,DTLA,48000,45.0,,13:20:00
LAX,DTLA,48000,35.0,,13:20:00
LAX,DTLA,48000,30.0,,13:20:00
DTLA,LAX,48000,47.5,,13:20:00
LAX,DTLA,48300,27.5,,13:25:00
DTLA,LAX,48300,32.5,,13:25:00
DTLA,LAX,48600,25.0,,13:30:00
DTLA,LAX,48600,25.0,,13:30:00
LAX,DTLA,48600,47.5,,13:30:00
LAX,DTLA,48600,47.5,,13:30:00
DTLA,LAX,48600,40.0,,13:30:00
DTLA,LAX,48900,35.0,,13:35:00
LAX,DTLA,48900,45.0,,13:35:00
DTLA,LAX,48900,35.0,,13:35:00
LAX,DTLA,48900,32.5,,13:35:00
DTLA,LAX,49200,42.5,,13:40:00
DTLA,LAX,49200,42.5,,13:40:00
LAX,DTLA,49200,30.0,,13:40:00
LAX,DTLA,49200,35.0,,13:40:00
DTLA,LAX,49200,42.5,,13:40:00
DTLA,LAX,49500,30.0,,13:45:00
DTLA,LAX,49500,40.0,,13:45:00
LAX,DTLA,49500,42.5,,13:45:00
DTLA,LAX,49800,30.0,,13:50:00
LAX,DTLA,49800,30.0,,13:50:00
LAX,DTLA,49800,30.0,,13:50:00
LAX,DTLA,50100,35.0,,13:55:00
DTLA,LAX,50100,30.0,,13:55:00
DTLA,LAX,50100,35.0,,13:55:00
DTLA,LAX,50400,40.0,,14:00:00
LAX,DTLA,50400,30.0,,14:00:00
LAX,DTLA,50400,30.0,,14:00:00
DTLA,LAX,50400,25.0,,14:00:00
DTLA,LAX,50400,25.0,,14:00:00
LAX,DTLA,50700,30.0,,14:05:00
LAX,DTLA,50700,37.5,,14:05:00
LAX,DTLA,50700,37.5,,14:05:00
DTLA,LAX,50700,30.0,,14:05:00
DTLA,LAX,51000,25.0,,14:10:00
LAX,DTLA,51300,25.0,,14:15:00
LAX,DTLA,51300,40.0,,14:15:00
DTLA,LAX,51300,32.5,,14:15:00
DTLA,LAX,51600,37.5,,14:20:00
LAX,DTLA,51600,35.0,,14:20:00
LAX,DTLA,51600,40.0,,14:20:00
LAX,DTLA,51900,30.0,,14:25:00
LAX,DTLA,51900,27.5,,14:25:00
DTLA,LAX,51900,30.0,,14:25:00
LAX,DTLA,52200,32.5,,14:30:00
LAX,DTLA,52200,32.5,,14:30:00
DTLA,LAX,52200,30.0,,14:30:00
DTLA,LAX,52200,42.5,,14:30:00
DTLA,LAX,52500,35.0,,14:35:00
LAX,DTLA,52500,55.0,,14:35:00
DTLA,LAX,52500,35.0,,14:35:00
DTLA,LAX,52800,25.0,,14:40:00
LAX,DTLA,52800,37.5,,14:40:00
LAX,DTLA,52800,47.5,,14:40:00
LAX,DTLA,53100,50.0,,14:45:00
DTLA,LAX,53100,32.5,,14:45:00
DTLA,LAX,53100,32.5,,14:45:00
DTLA,LAX,53100,32.5,,14:45:00
LAX,DTLA,53400,32.5,,14:50:00
DTLA,LAX,53400,50.0,,14:50:00
LAX,DTLA,53400,35.0,,14:50:00
LAX,DTLA,53400,35.0,,14:50:00
LAX,DTLA,53700,37.5,,14:55:00
DTLA,LAX,53700,32.5,,14:55:00
DTLA,LAX,53700,45.0,,14:55:00
DTLA,LAX,54000,27.5,,15:00:00
LAX,DTLA,54000,45.0,,15:00:00
LAX,DTLA,54000,27.5,,15:00:00
LAX,DTLA,54300,40.0,,15:05:00
DTLA,LAX,54300,40.0,,15:05:00
DTLA,LAX,54300,50.0,,15:05:00
LAX,DTLA,54300,37.5,,15:05:00
LAX,DTLA,54600,32.5,,15:10:00
DTLA,LAX,54600,40.0,,15:10:00
DTLA,LAX,54600,40.0,,15:10:00
LAX,DTLA,54600,37.5,,15:10:00
DTLA,LAX,54900,32.5,,15:15:00
DTLA,LAX,54900,32.5,,15:15:00
DTLA,LAX,54900,35.0,,15:15:00
LAX,DTLA,54900,35.0,,15:15:00
DTLA,LAX,55200,27.5,,15:20:00
LAX,DTLA,55200,35.0,,15:20:00
LAX,DTLA,55500,30.0,,15:25:00
DTLA,LAX,55500,45.0,,15:25:00
DTLA,LAX,55500,30.0,,15:25:00
LAX,DTLA,55500,35.0,,15:25:00
DTLA,LAX,55800,30.0,,15:30:00
DTLA,LAX,55800,30.0,,15:30:00
LAX,DTLA,55800,27.5,,15:30:00
DTLA,LAX,56100,25.0,,15:35:00
LAX,DTLA,56100,45.0,,15:35:00
LAX,DTLA,56100,40.0,,15:35:00
LAX,DTLA,56400,27.5,,15:40:00
DTLA,LAX,56400,47.5,,15:40:00
DTLA,LAX,56400,35.0,,15:40:00
LAX,DTLA,56400,25.0,,15:40:00
LAX,DTLA,56700,50.0,,15:45:00
DTLA,LAX,56700,40.0,,15:45:00
LAX,DTLA,57000,30.0,,15:50:00
LAX,DTLA,57000,42.5,,15:50:00
DTLA,LAX,57300,45.0,,15:55:00
DTLA,LAX,57300,25.0,,15:55:00
LAX,DTLA,57300,25.0,,15:55:00
DTLA,LAX,57300,25.0,,15:55:00
DTLA,LAX,57600,42.5,,16:00:00
LAX,DTLA,57600,35.0,,16:00:00
LAX,DTLA,57900,47.5,,16:05:00
LAX,DTLA,57900,40.0,,16:05:00
DTLA,LAX,57900,25.0,,16:05:00
LAX,DTLA,58200,55.0,,16:10:00
LAX,DTLA,58200,47.5,,16:10:00
DTLA,LAX,58200,37.5,,16:10:00
DTLA,LAX,58200,37.5,,16:10:00
DTLA,LAX,58200,30.0,,16:10:00
LAX,DTLA,58200,55.0,,16:10:00
DTLA,LAX,58500,42.5,,16:15:00
LAX,DTLA,58500,37.5,,16:15:00
LAX,DTLA,58800,25.0,,16:20:00
DTLA,LAX,58800,42.5,,16:20:00
DTLA,LAX,59100,37.5,,16:25:00
LAX,DTLA,59400,35.0,,16:30:00
LAX,DTLA,59400,35.0,,16:30:00
DTLA,LAX,59700,50.0,,16:35:00
DTLA,LAX,59700,50.0,,16:35:00
LAX,DTLA,59700,32.5,,16:35:00
LAX,DTLA,59700,42.5,,16:35:00
LAX,DTLA,60000,32.5,,16:40:00
DTLA,LAX,60000,42.5,,16:40:00
LAX,DTLA,60000,42.5,,16:40:00
DTLA,LAX,60000,42.5,,16:40:00
DTLA,LAX,60300,37.5,,16:45:00
LAX,DTLA,60300,45.0,,16:45:00
DTLA,LAX,60300,37.5,,16:45:00
LAX,DTLA,60600,47.5,,16:50:00
LAX,DTLA,60600,47.5,,16:50:00
DTLA,LAX,60600,27.5,,16:50:00
DTLA,LAX,60900,35.0,,16:55:00
LAX,DTLA,60900,55.0,,16:55:00
LAX,DTLA,61200,32.5,,17:00:00
DTLA,LAX,61200,42.5,,17:00:00
DTLA,LAX,61200,42.5,,17:00:00
DTLA,LAX,61200,42.5,,17:00:00
DTLA,LAX,61200,42.5,,17:00:00
DTLA,LAX,61500,40.0,,17:05:00
LAX,DTLA,61500,30.0,,17:05:00
DTLA,LAX,61500,40.0,,17:05:00
DTLA,LAX,61500,50.0,,17:05:00
LAX,DTLA,61800,47.5,,17:10:00
LAX,DTLA,61800,37.5,,17:10:00
LAX,DTLA,61800,47.5,,17:10:00
LAX,DTLA,61800,30.0,,17:10:00
LAX,DTLA,62100,35.0,,17:15:00
DTLA,LAX,62100,25.0,,17:15:00
LAX,DTLA,62100,35.0,,17:15:00
DTLA,LAX,62400,25.0,,17:20:00
LAX,DTLA,62400,42.5,,17:20:00
DTLA,LAX,62400,32.5,,17:20:00
LAX,DTLA,62400,47.5,,17:20:00
LAX,DTLA,62400,45.0,,17:20:00
LAX,DTLA,62700,42.5,,17:25:00
